tahun,provinsi,poor_population
2017,NUSA TENGGARA BARAT,793780
2018,NUSA TENGGARA BARAT,737460
2019,NUSA TENGGARA BARAT,735960
2020,NUSA TENGGARA BARAT,713890
2021,NUSA TENGGARA BARAT,746660
2022,NUSA TENGGARA BARAT,731940
2023,NUSA TENGGARA BARAT,751230
2024,NUSA TENGGARA BARAT,709010
2017,NUSA TENGGARA TIMUR,1150790
2018,NUSA TENGGARA TIMUR,1142170
2019,NUSA TENGGARA TIMUR,1146320
2020,NUSA TENGGARA TIMUR,1153760
2021,NUSA TENGGARA TIMUR,1169310
2022,NUSA TENGGARA TIMUR,1131620
2023,NUSA TENGGARA TIMUR,1141110
2024,NUSA TENGGARA TIMUR,1127570
2017,PAPUA,897690
2018,PAPUA,917630
2019,PAPUA,926360
2020,PAPUA,911370
2021,PAPUA,920440
2022,PAPUA,922120
2023,PAPUA,915150
2024,PAPUA,919020
2017,PAPUA BARAT,228380
2018,PAPUA BARAT,214470
2019,PAPUA BARAT,211500
2020,PAPUA BARAT,208580
2021,PAPUA BARAT,219070
2022,PAPUA BARAT,218780
2023,PAPUA BARAT,214980
2024,PAPUA BARAT,212430
2017,RIAU,514620
2018,RIAU,500440
2019,RIAU,490720
2020,RIAU,483390
2021,RIAU,500810
2022,RIAU,485030
2023,RIAU,485660
2024,RIAU,492250
2017,SULAWESI BARAT,149760
2018,SULAWESI BARAT,151780
2019,SULAWESI BARAT,151400
2020,SULAWESI BARAT,152020
2021,SULAWESI BARAT,157190
2022,SULAWESI BARAT,165720
2023,SULAWESI BARAT,164140
2024,SULAWESI BARAT,162190
2017,SULAWESI SELATAN,813070
2018,SULAWESI SELATAN,792630
2019,SULAWESI SELATAN,767800
2020,SULAWESI SELATAN,776830
2021,SULAWESI SELATAN,784980
2022,SULAWESI SELATAN,777440
2023,SULAWESI SELATAN,788850
2024,SULAWESI SELATAN,736480
2017,SULAWESI TENGAH,417870
2018,SULAWESI TENGAH,420210
2019,SULAWESI TENGAH,410360
2020,SULAWESI TENGAH,398730
2021,SULAWESI TENGAH,404440
2022,SULAWESI TENGAH,388350
2023,SULAWESI TENGAH,395660
2024,SULAWESI TENGAH,379760
2017,SULAWESI TENGGARA,331710
2018,SULAWESI TENGGARA,307100
2019,SULAWESI TENGGARA,302580
2020,SULAWESI TENGGARA,301820
2021,SULAWESI TENGGARA,318700
2022,SULAWESI TENGGARA,309790
2023,SULAWESI TENGGARA,321530
2024,SULAWESI TENGGARA,319710
2017,SULAWESI UTARA,198880
2018,SULAWESI UTARA,193310
2019,SULAWESI UTARA,191700
2020,SULAWESI UTARA,192370
2021,SULAWESI UTARA,196350
2022,SULAWESI UTARA,185140
2023,SULAWESI UTARA,189000
2024,SULAWESI UTARA,186850
2017,SUMATERA BARAT,364510
2018,SUMATERA BARAT,357130
2019,SUMATERA BARAT,348220
2020,SUMATERA BARAT,344230
2021,SUMATERA BARAT,370670
2022,SUMATERA BARAT,335210
2023,SUMATERA BARAT,340370
2024,SUMATERA BARAT,345730
2017,SUMATERA SELATAN,1086920
2018,SUMATERA SELATAN,1068270
2019,SUMATERA SELATAN,1073740
2020,SUMATERA SELATAN,1081580
2021,SUMATERA SELATAN,1113760
2022,SUMATERA SELATAN,1044690
2023,SUMATERA SELATAN,1045680
2024,SUMATERA SELATAN,984240
2017,SUMATERA UTARA,1453870
2018,SUMATERA UTARA,1324980
2019,SUMATERA UTARA,1282040
2020,SUMATERA UTARA,1283290
2021,SUMATERA UTARA,1343860
2022,SUMATERA UTARA,1268190
2023,SUMATERA UTARA,1239710
2024,SUMATERA UTARA,1228010
