tahun,provinsi,listrik_gwh
2014,KALIMANTAN SELATAN,2092.23
2015,KALIMANTAN SELATAN,2187.64
2017,KALIMANTAN SELATAN,2391.87
2018,KALIMANTAN SELATAN,2602.39
2019,KALIMANTAN SELATAN,2819.16
2020,KALIMANTAN SELATAN,2939.0
2021,KALIMANTAN SELATAN,3050.71
2022,KALIMANTAN SELATAN,3298.88
2023,KALIMANTAN SELATAN,3693.87
2024,KALIMANTAN SELATAN,3972.16
2011,KALIMANTAN TENGAH,649.95
2012,KALIMANTAN TENGAH,752.34
2013,KALIMANTAN TENGAH,854.78
2014,KALIMANTAN TENGAH,970.16
2015,KALIMANTAN TENGAH,1048.64
2017,KALIMANTAN TENGAH,1134.95
2018,KALIMANTAN TENGAH,1223.79
2019,KALIMANTAN TENGAH,1358.77
2020,KALIMANTAN TENGAH,1493.69
2021,KALIMANTAN TENGAH,1597.89
2022,KALIMANTAN TENGAH,1688.28
2023,KALIMANTAN TENGAH,1831.08
2024,KALIMANTAN TENGAH,1978.76
2011,KALIMANTAN TIMUR,2277.22
2012,KALIMANTAN TIMUR,2502.32
2013,KALIMANTAN TIMUR,2731.58
2014,KALIMANTAN TIMUR,2815.55
2015,KALIMANTAN TIMUR,3007.3
2017,KALIMANTAN TIMUR,3418.33
2018,KALIMANTAN TIMUR,3637.27
2019,KALIMANTAN TIMUR,3952.88
2020,KALIMANTAN TIMUR,4123.86
2021,KALIMANTAN TIMUR,4117.44
2022,KALIMANTAN TIMUR,4287.19
2023,KALIMANTAN TIMUR,4803.87
2024,KALIMANTAN TIMUR,5948.01
2013,KALIMANTAN UTARA,180.73
2014,KALIMANTAN UTARA,199.37
2015,KALIMANTAN UTARA,206.5
2017,KALIMANTAN UTARA,180.59
2018,KALIMANTAN UTARA,183.32
2019,KALIMANTAN UTARA,264.55
2020,KALIMANTAN UTARA,261.82
2021,KALIMANTAN UTARA,184.5
2022,KALIMANTAN UTARA,192.11
2023,KALIMANTAN UTARA,263.04
2024,KALIMANTAN UTARA,266.98
2011,KEP. BANGKA BELITUNG,535.61
2012,KEP. BANGKA BELITUNG,664.72
2013,KEP. BANGKA BELITUNG,721.24
2014,KEP. BANGKA BELITUNG,805.43
2015,KEP. BANGKA BELITUNG,861.52
2017,KEP. BANGKA BELITUNG,979.19
2018,KEP. BANGKA BELITUNG,1066.35
2019,KEP. BANGKA BELITUNG,1166.93
2020,KEP. BANGKA BELITUNG,1217.52
