tahun,provinsi,population
2018,MALUKU UTARA,1232600
2019,MALUKU UTARA,1255800
2020,MALUKU UTARA,1282900
2021,MALUKU UTARA,1299200
2022,MALUKU UTARA,1319300
2023,MALUKU UTARA,1337100
2024,MALUKU UTARA,1355600
2017,NUSA TENGGARA BARAT,4955600
2018,NUSA TENGGARA BARAT,5013700
2019,NUSA TENGGARA BARAT,5070400
2020,NUSA TENGGARA BARAT,5320100
2021,NUSA TENGGARA BARAT,5390000
2022,NUSA TENGGARA BARAT,5473700
2023,NUSA TENGGARA BARAT,5560300
2024,NUSA TENGGARA BARAT,5646000
2017,NUSA TENGGARA TIMUR,5287300
2018,NUSA TENGGARA TIMUR,5371500
2019,NUSA TENGGARA TIMUR,5456200
2020,NUSA TENGGARA TIMUR,5325600
2021,NUSA TENGGARA TIMUR,5387700
2022,NUSA TENGGARA TIMUR,5466300
2023,NUSA TENGGARA TIMUR,5569100
2024,NUSA TENGGARA TIMUR,5656000
2017,PAPUA,3265200
2018,PAPUA,3322500
2019,PAPUA,3379300
2020,PAPUA,4303700
2021,PAPUA,4355400
2022,PAPUA,4418600
2023,PAPUA,4482700
2024,PAPUA,4542600
2017,PAPUA BARAT,915400
2018,PAPUA BARAT,937500
2019,PAPUA BARAT,959600
2020,PAPUA BARAT,1134100
2021,PAPUA BARAT,1156800
2022,PAPUA BARAT,1183300
2023,PAPUA BARAT,1187300
2024,PAPUA BARAT,1205800
2017,RIAU,6657900
2018,RIAU,6814900
2019,RIAU,6971700
2020,RIAU,6394100
2021,RIAU,6493600
2022,RIAU,6614400
2023,RIAU,6642900
2024,RIAU,6728100
2017,SULAWESI BARAT,1331000
2018,SULAWESI BARAT,1355600
2019,SULAWESI BARAT,1380300
2020,SULAWESI BARAT,1419200
2021,SULAWESI BARAT,1436800
2022,SULAWESI BARAT,1458600
2023,SULAWESI BARAT,1481100
2024,SULAWESI BARAT,1503200
2017,SULAWESI SELATAN,8690300
2018,SULAWESI SELATAN,8772000
2019,SULAWESI SELATAN,8851200
2020,SULAWESI SELATAN,9073500
2021,SULAWESI SELATAN,9139500
2022,SULAWESI SELATAN,9225800
2023,SULAWESI SELATAN,9362300
2024,SULAWESI SELATAN,9463400
2017,SULAWESI TENGAH,2966300
2018,SULAWESI TENGAH,3010400
2019,SULAWESI TENGAH,3054000
2020,SULAWESI TENGAH,2985700
2021,SULAWESI TENGAH,3021900
2022,SULAWESI TENGAH,3066100
2023,SULAWESI TENGAH,3086800
2024,SULAWESI TENGAH,3121800
2017,SULAWESI TENGGARA,2602400
2018,SULAWESI TENGGARA,2653700
2019,SULAWESI TENGGARA,2704700
2020,SULAWESI TENGGARA,2624900
2021,SULAWESI TENGGARA,2659200
2022,SULAWESI TENGGARA,2701700
2023,SULAWESI TENGGARA,2749000
2024,SULAWESI TENGGARA,2793100
2017,SULAWESI UTARA,2461000
2018,SULAWESI UTARA,2484400
2019,SULAWESI UTARA,2507000
2020,SULAWESI UTARA,2621900
